fecha	archivo	algoritmo	nulos	tipo_umbral	num.trees	vmin.node.size	umbral_promedio	ganancia_promedio	tiempo_promedio	ganancias	umbrales				
20170312 224640	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	10.00	5000.00	0.03125	1592778.00	8.790213	1378333.00	1766667.00	1633333.00			
20170312 225611	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	10.00	700.00	0.03125	1586667.00	10.28856	1397500.00	1805833.00	1556667.00			
20170312 230013	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	10.00	500.00	0.03125	1573889.00	10.58164	1442500.00	1546667.00	1732500.00			
20170312 234822	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	20.00	50.00	0.06666667	1566389.00	17.13867	1437500.00	1708333.00	1553333.00	56.00	79.00	65.00
20170312 223001	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	800.00	0.03125	1562222.00	7.498985	1353333.00	1535833.00	1797500.00			
20170312 225733	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	10.00	700.00	0.04166667	1555278.00	10.3946	1478333.00	1540000.00	1647500.00	38.00	44.00	43.00
20170312 233915	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	20.00	300.00	48.00	1553611.00	17.52764	1479167.00	1570000.00	1611667.00	69.00	42.00	33.00
20170312 230750	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	10.00	100.00	0.05666667	1552778.00	10.91432	1475833.00	1500833.00	1681667.00	53.00	68.00	49.00
20170312 222156	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	10000.00	0.03125	1549722.00	6.707922	1464167.00	1726667.00	1458333.00			
20170312 223600	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	500.00	0.05	1548889.00	7.573102	1260000.00	1763333.00	1623333.00	49.00	36.00	65.00
20170312 230418	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	10.00	200.00	0.03125	1547500.00	10.41811	1370833.00	1739167.00	1532500.00			
20170312 222503	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	3000.00	0.03125	1539722.00	7.399479	1201667.00	1882500.00	1535000.00			
20170312 222820	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	1000.00	0.03125	1531111.00	7.94495	1276667.00	1676667.00	1640000.00			
20170312 222328	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	5000.00	0.03125	1523333.00	7.0326	1288333.00	1584167.00	1697500.00			
20170312 223245	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	700.00	0.04133333	1520278.00	7.747488	1405000.00	1653333.00	1502500.00	41.00	46.00	37.00
20170312 234223	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	20.00	200.00	0.06166667	1514722.00	19.31833	1339167.00	1600000.00	1605000.00	83.00	68.00	34.00
