resultados/ganancia_ranger.200.tsv:20170314 140234	umbral_fijo	200.00	800.00	0.03	1886667.00	132.74	1735000.00	1986667.00	1938333.00			
resultados/ganancia_ranger.800.4.tsv:20170318 023735	umbral_fijo	800.00	20.00	0.03	1883056.00	514.31	1625833.00	2070000.00	1953333.00			
resultados/ganancia_ranger.500.3.tsv:20170316 142759	umbral_estimado	500.00	100.00	0.04	1883056.00	332.20	1696667.00	1889167.00	2063333.00	0.03	0.05	0.05
resultados/ganancia_ranger.0-50.tsv:20170313 001415	umbral_estimado	50.00	1000.00	0.04	1882500.00	35.26	1665000.00	1974167.00	2008333.00	49.00	37.00	29.00
resultados/ganancia_ranger.1.tsv:20170313 001415	umbral_estimado	50.00	1000.00	0.04	1882500.00	35.26	1665000.00	1974167.00	2008333.00	0.05	0.04	0.03
resultados/ganancia_ranger.200.tsv:20170314 155826	umbral_fijo	200.00	100.00	0.03	1877500.00	175.95	1591667.00	2085000.00	1955833.00			
resultados/ganancia_ranger.100.tsv:20170313 223756	umbral_estimado	100.00	2000.00	33.00	1876667.00	65.86	1609167.00	2121667.00	1899167.00	0.03	33.00	36.00
resultados/ganancia_ranger.100.tsv:20170314 001258	umbral_estimado	100.00	20.00	0.05	1876667.00	67.19	1728333.00	2013333.00	1888333.00	66.00	51.00	0.04
resultados/ganancia_ranger.0-50.tsv:20170312 232207	umbral_estimado	20.00	2000.00	34.00	1873889.00	16.12	1765833.00	2042500.00	1813333.00	35.00	34.00	33.00
resultados/ganancia_ranger.1.tsv:20170312 232207	umbral_estimado	20.00	2000.00	0.03	1873889.00	16.12	1765833.00	2042500.00	1813333.00	0.04	0.03	0.03
resultados/ganancia_ranger.500.3.tsv:20170316 151510	umbral_estimado	500.00	50.00	0.06	1871389.00	352.01	1550833.00	2040000.00	2023333.00	0.08	0.06	0.04
resultados/ganancia_ranger.200.tsv:20170314 154904	umbral_estimado	200.00	200.00	0.04	1871111.00	150.86	1636667.00	2015833.00	1960833.00	0.06	0.04	0.03
resultados/ganancia_ranger.200.tsv:20170314 161052	umbral_estimado	200.00	100.00	0.04	1869444.00	144.23	1735833.00	1897500.00	1975000.00	0.03	0.05	0.04
resultados/ganancia_ranger.100.tsv:20170313 225643	umbral_estimado	100.00	800.00	44.00	1868611.00	68.68	1605000.00	2143333.00	1857500.00	53.00	37.00	42.00
resultados/ganancia_ranger.200.tsv:20170314 130638	umbral_estimado	200.00	5000.00	0.03	1868333.00	104.56	1722500.00	2020000.00	1862500.00	0.03	0.03	0.03
resultados/ganancia_ranger.500.3.tsv:20170316 153439	umbral_fijo	500.00	20.00	0.03	1868056.00	375.64	1720833.00	1989167.00	1894167.00			
resultados/ganancia_ranger.100.tsv:20170313 224130	umbral_fijo	100.00	1000.00	0.03	1867778.00	67.46	1805000.00	1860833.00	1937500.00			
resultados/ganancia_ranger.500.3.tsv:20170316 140128	umbral_fijo	500.00	100.00	0.03	1867500.00	324.76	1756667.00	2040000.00	1805833.00			
resultados/ganancia_ranger.0-50.tsv:20170313 001059	umbral_fijo	50.00	1000.00	0.03	1863889.00	35.09	1761667.00	1931667.00	1898333.00			
resultados/ganancia_ranger.1.tsv:20170313 001059	umbral_fijo	50.00	1000.00	0.03	1863889.00	35.09	1761667.00	1931667.00	1898333.00			
resultados/ganancia_ranger.100.tsv:20170313 231601	umbral_estimado	100.00	600.00	0.04	1856389.00	72.53	1657500.00	2029167.00	1882500.00	29.00	52.00	39.00
resultados/ganancia_ranger.200.tsv:20170314 143242	umbral_estimado	200.00	700.00	0.05	1851111.00	137.04	1720000.00	1969167.00	1864167.00	0.05	0.05	0.03
resultados/ganancia_ranger.100.tsv:20170313 234902	umbral_fijo	100.00	100.00	0.03	1847500.00	66.29	1587500.00	2052500.00	1902500.00			
